State,County,Total_List,Cancelled,Cancelled_,Postponed,Postponed_,TotalFallout,Total_Fallout_,Pending_OutbidNC,Pending_Sales_Results,BTS_from_total_list,BTS
Alabama,,2550,947,37,415,16,1362,53,0,0,46.6,1188
,Autauga,25,11,44,5,20,16,64,0,0,36.0,9
,Baldwin,78,32,41,18,23,50,64,0,0,35.9,28
,Bibb,6,3,50,1,17,4,67,0,0,33.3,2
,Blount,33,8,24,4,12,12,36,0,0,63.6,21
,Bullock,2,0,0,2,100,2,100,0,0,0.0,
,Butler,6,3,50,0,0,3,50,0,0,50.0,3
,Calhoun,81,28,35,13,16,41,51,0,0,49.4,40
,Chambers,8,4,50,0,0,4,50,0,0,50.0,4
,Cherokee,7,1,14,3,43,4,57,0,0,42.9,3
,Chilton,13,2,15,2,15,4,31,0,0,69.2,9
,Choctaw,3,0,0,1,33,1,33,0,0,66.7,2
,Clarke,5,2,40,1,20,3,60,0,0,40.0,2
,Clay,5,1,20,2,40,3,60,0,0,40.0,2
,Cleburne,1,1,100,0,0,1,100,0,0,0.0,
,Coffee,14,2,14,0,0,2,14,0,0,85.7,12
,Colbert,24,9,38,3,13,12,50,0,0,50.0,12
,Conecuh,5,2,40,1,20,3,60,0,0,40.0,2
,Coosa,1,0,0,,0,0,,0,0,100.0,1
,Covington,11,3,27,1,9,4,36,0,0,63.6,7
,Crenshaw,1,0,0,,0,0,,0,0,100.0,1
,Cullman,27,7,26,6,22,13,48,0,0,51.9,14
,Dale,25,6,24,1,4,7,28,0,0,72.0,18
,Dallas,10,4,40,0,0,4,40,0,0,60.0,6
,De Kalb,4,2,50,0,0,2,50,0,0,50.0,2
,DeKalb,13,3,23,2,15,5,38,0,0,61.5,8
,Elmore,52,17,33,12,23,29,56,0,0,44.2,23
,Escambia,10,1,10,4,40,5,50,0,0,50.0,5
,Etowah,68,18,26,14,21,32,47,0,0,52.9,36
,Fayette,9,3,33,2,22,5,56,0,0,44.4,4
,Franklin,7,6,86,0,0,6,86,0,0,14.3,1
,Geneva,3,2,67,0,0,2,67,0,0,33.3,1
,Hale,7,4,57,0,0,4,57,0,0,42.9,3
,Henry,6,0,0,1,17,1,17,0,0,83.3,5
,Houston,37,8,22,8,22,16,43,0,0,56.8,21
,Jackson,10,4,40,0,0,4,40,0,0,60.0,6
,Jefferson,506,181,36,90,18,271,54,0,0,46.4,235
,Lamar,5,1,20,0,0,1,20,0,0,80.0,4
,Lauderdale,30,12,40,3,10,15,50,0,0,50.0,15
,Lawrence,11,5,45,2,18,7,64,0,0,36.4,4
,Lee,59,21,36,9,15,30,51,0,0,49.2,29
,Limestone,49,23,47,12,24,35,71,0,0,28.6,14
,Lowndes,4,0,0,1,25,1,25,0,0,75.0,3
,Macon,9,4,44,0,0,4,44,0,0,55.6,5
,Madison,225,89,40,35,16,124,55,0,0,44.9,101
,Marengo,5,4,80,0,0,4,80,0,0,20.0,1
,Marion,8,4,50,2,25,6,75,0,0,25.0,2
,Marshall,57,15,26,13,23,28,49,0,0,50.9,29
,Mobile,316,124,39,43,14,167,53,0,0,47.2,149
,Monroe,6,2,33,1,17,3,50,0,0,50.0,3
,Montgomery,168,66,39,24,14,90,54,0,0,46.4,78
,Morgan,81,34,42,15,19,49,60,0,0,39.5,32
,Perry,1,0,0,1,100,1,100,0,0,0.0,
,Pickens,4,2,50,0,0,2,50,0,0,50.0,2
,Pike,6,5,83,1,17,6,100,0,0,0.0,
,Randolph,5,1,20,3,60,4,80,0,0,20.0,1
,Russell,38,13,34,5,13,18,47,0,0,52.6,20
,Saint Clair,48,21,44,7,15,28,58,0,0,41.7,20
,Shelby,115,46,40,15,13,61,53,0,0,47.0,54
,Talladega,25,11,44,2,8,13,52,0,0,48.0,12
,Tallapoosa,18,6,33,3,17,9,50,0,0,50.0,9
,Tuscaloosa,107,50,47,15,14,65,61,0,0,39.3,42
,Walker,19,7,37,4,21,11,58,0,0,42.1,8
,Washington,3,2,67,0,0,2,67,0,0,33.3,1
,Wilcox,2,1,50,1,50,2,100,0,0,0.0,
